Code departement,Departement,Nom du club
01,Ain,1RE CIE D'ARCHERS MONTMERLE 3 RIVIERES
01,Ain,A.S.M.L.C. TIR A L'ARC
01,Ain,ARC CLUB GESSIEN
01,Ain,ARCHERS BRESSANS
01,Ain,ARCHERS DE LA VALSERINE
01,Ain,ASEGF STE JULIE
01,Ain,CIE DES ARCHERS DU ROY
01,Ain,COMPAGNIE DE BOURG EN BRESSE
01,Ain,DIVONNE ARC CLUB
01,Ain,L'ARC CLUB BUGISTE
01,Ain,LES ARCHERS DE LA VALLEE DE L'AIN
01,Ain,LES ARCHERS DU CANTON DE MONTLUEL
01,Ain,LES ARCHERS DU VAL DE SAONE
01,Ain,SEL TIR A L'ARC OYONNAX
01,Ain,ULYSSE 2000 AIN
02,Aisne,1ERE CIE D'ARC DE VIC SUR AISNE
02,Aisne,1ERE CIE D'ARC L'ESPERANCE DE LAON
02,Aisne,1ERE COMPAGNIE D'ARC DE VAILLY
02,Aisne,2EME CIE DE VILLENEUVE/FERE
02,Aisne,ARCHER CLUB DE COUCY LES EPPES
02,Aisne,ARCHERS DE CHATEAU-THIERRY ET DE BRASLES
02,Aisne,ASSOCIATION STE CLOTILDE
02,Aisne,CHEZY SUR MARNE
02,Aisne,CIE ARC CHEZY EN ORXOIS
02,Aisne,CIE ARC LA FERTE MILON
02,Aisne,CIE D ARC DE ST REMY
02,Aisne,CIE D ARC DE VILLERS COTTERETS
02,Aisne,CIE D ARC SERINGES ET NESLES
02,Aisne,CIE D'ARC D'HARAMONT
02,Aisne,CIE D'ARC D'OIGNY
02,Aisne,CIE D'ARC DE BILLY SUR OURCQ
02,Aisne,CIE D'ARC DE BLERANCOURT
02,Aisne,CIE D'ARC DE BRAINE
02,Aisne,CIE D'ARC DE BRANGES
02,Aisne,CIE D'ARC DE CHACRISE
02,Aisne,CIE D'ARC DE CHARLY SUR MARNE
02,Aisne,CIE D'ARC DE CHAUNY
02,Aisne,CIE D'ARC DE GRAND ROZOY
02,Aisne,CIE D'ARC DE GUIVRY
02,Aisne,CIE D'ARC DE MURET ET CROUTTES
02,Aisne,CIE D'ARC DE NEUILLY ST FRONT
02,Aisne,CIE D'ARC DE PARCY ET TIGNY
02,Aisne,CIE D'ARC DE PINON
02,Aisne,CIE D'ARC DE VILLENEUVE ST GERMAIN
02,Aisne,CIE D'ARC GANDELU
02,Aisne,CIE D'ARC MONTIGNY L'ALLIER
02,Aisne,CIE DAMMARD
02,Aisne,CIE DE BRECY
02,Aisne,CIE DE CAILLOUEL CREPIGNY
02,Aisne,CIE DE TIR A L'ARC D'OULCHY LA VILLE
02,Aisne,CIE DE TIR A L'ARC LA FERE
02,Aisne,CIE DES ARCHERS DE GUIGNICOURT
02,Aisne,CLUB DES ARCHERS DE L'OMOIS
02,Aisne,COMPAGNIE D'ARC D'ACY
02,Aisne,COMPAGNIE D'ARC DE CAMELIN
02,Aisne,COMPAGNIE D'ARC DE DROIZY
02,Aisne,COMPAGNIE D'ARC DE JUSSY
02,Aisne,COMPAGNIE D'ARC DE LONGPONT
